subj_id,cr,fa,hit,miss,zhr,zfa,dprime,crit
S24,37,63,48,52,-0.050153583,0.331853346,-0.38200693,-0.331853346
S25,11,89,81,19,0.877896295,1.22652812,-0.348631825,-1.22652812
S26,22,78,75,25,0.67448975,0.772193214,-0.097703464,-0.772193214
S27,44,56,74,26,0.643345405,0.150969215,0.49237619,-0.150969215
S28,57,43,64,36,0.358458793,-0.176374165,0.534832958,0.176374165
S29,39,61,88,12,1.174986792,0.279319034,0.895667758,-0.279319034
S30,72,28,30,70,-0.524400513,-0.582841507,0.058440995,0.582841507
S31,8,92,86,14,1.080319341,1.40507156,-0.324752219,-1.40507156
S32,33,67,85,15,1.036433389,0.439913166,0.596520224,-0.439913166
S33,53,47,35,65,-0.385320466,-0.075269862,-0.310050604,0.075269862
S34,46,54,45,55,-0.125661347,0.100433721,-0.226095067,-0.100433721
S35,21,79,76,24,0.706302563,0.806421247,-0.100118684,-0.806421247
S36,34,66,69,31,0.495850347,0.412463129,0.083387218,-0.412463129
S37,70,30,74,26,0.643345405,-0.524400513,1.167745918,0.524400513
S38,63,37,52,48,0.050153583,-0.331853346,0.38200693,0.331853346
S39,76,24,8,92,-1.40507156,-0.706302563,-0.698768997,0.706302563
S40,53,47,45,55,-0.125661347,-0.075269862,-0.050391485,0.075269862
S01,55,45,78,22,0.772193214,-0.125661347,0.897854561,0.125661347
S02,34,66,32,68,-0.467698799,0.412463129,-0.880161929,-0.412463129
S03,50,50,82,18,0.915365088,0,0.915365088,0
S04,45,55,44,56,-0.150969215,0.125661347,-0.276630562,-0.125661347
S05,62,38,47,53,-0.075269862,-0.305480788,0.230210926,0.305480788
S06,12,88,62,38,0.305480788,1.174986792,-0.869506004,-1.174986792
S07,30,70,51,49,0.025068908,0.524400513,-0.499331604,-0.524400513
S08,41,59,64,36,0.358458793,0.227544977,0.130913817,-0.227544977
S09,72,28,24,76,-0.706302563,-0.582841507,-0.123461056,0.582841507
S10,41,59,32,68,-0.467698799,0.227544977,-0.695243776,-0.227544977
S11,50,50,52,48,0.050153583,0,0.050153583,0
S12,63,37,51,49,0.025068908,-0.331853346,0.356922255,0.331853346
S13,30,70,41,59,-0.227544977,0.524400513,-0.751945489,-0.524400513
S14,81,19,34,66,-0.412463129,-0.877896295,0.465433166,0.877896295
S15,50,50,89,11,1.22652812,0,1.22652812,0
S16,58,42,24,76,-0.706302563,-0.201893479,-0.504409084,0.201893479
S17,47,53,56,44,0.150969215,0.075269862,0.075699353,-0.075269862
S18,83,17,21,79,-0.806421247,-0.954165253,0.147744006,0.954165253
S19,73,27,19,81,-0.877896295,-0.612812991,-0.265083304,0.612812991
S20,70,30,22,78,-0.772193214,-0.524400513,-0.247792701,0.524400513
S21,8,92,78,22,0.772193214,1.40507156,-0.632878346,-1.40507156
S22,10,90,77,23,0.738846849,1.281551566,-0.542704716,-1.281551566
S23,54,46,76,24,0.706302563,-0.100433721,0.806736283,0.100433721
S24,52,48,46,54,-0.100433721,-0.050153583,-0.050280137,0.050153583
S25,68,32,46,54,-0.100433721,-0.467698799,0.367265079,0.467698799
S26,68,32,60,40,0.253347103,-0.467698799,0.721045902,0.467698799
S27,42,58,40,60,-0.253347103,0.201893479,-0.455240582,-0.201893479
S28,70,30,34,66,-0.412463129,-0.524400513,0.111937383,0.524400513
S29,47,53,84,16,0.994457883,0.075269862,0.919188021,-0.075269862
S30,73,27,32,68,-0.467698799,-0.612812991,0.145114192,0.612812991
S31,41,59,60,40,0.253347103,0.227544977,0.025802126,-0.227544977
S32,72,28,59,41,0.227544977,-0.582841507,0.810386484,0.582841507
S33,54,46,46,54,-0.100433721,-0.100433721,0,0.100433721
S34,40,60,72,28,0.582841507,0.253347103,0.329494404,-0.253347103
S35,19,81,80,20,0.841621234,0.877896295,-0.036275061,-0.877896295
S36,29,71,49,51,-0.025068908,0.55338472,-0.578453628,-0.55338472
S37,64,36,61,39,0.279319034,-0.358458793,0.637777828,0.358458793
S38,68,32,42,58,-0.201893479,-0.467698799,0.26580532,0.467698799
S39,34,66,81,19,0.877896295,0.412463129,0.465433166,-0.412463129
S40,63,37,60,40,0.253347103,-0.331853346,0.58520045,0.331853346
S01,61,39,48,52,-0.050153583,-0.279319034,0.229165451,0.279319034
S02,58,42,61,39,0.279319034,-0.201893479,0.481212514,0.201893479
S03,63,37,74,26,0.643345405,-0.331853346,0.975198752,0.331853346
S04,23,77,51,49,0.025068908,0.738846849,-0.713777941,-0.738846849
S05,26,74,59,41,0.227544977,0.643345405,-0.415800429,-0.643345405
S06,78,22,36,64,-0.358458793,-0.772193214,0.413734421,0.772193214
S07,31,69,47,53,-0.075269862,0.495850347,-0.571120209,-0.495850347
S08,54,46,36,64,-0.358458793,-0.100433721,-0.258025073,0.100433721
S09,58,42,53,47,0.075269862,-0.201893479,0.277163341,0.201893479
S10,63,37,32,68,-0.467698799,-0.331853346,-0.135845453,0.331853346
S11,96,4,63,37,0.331853346,-1.750686071,2.082539418,1.750686071
S12,82,18,35,65,-0.385320466,-0.915365088,0.530044621,0.915365088
S13,60,40,56,44,0.150969215,-0.253347103,0.404316319,0.253347103
S14,43,57,61,39,0.279319034,0.176374165,0.10294487,-0.176374165
S15,58,42,44,56,-0.150969215,-0.201893479,0.050924264,0.201893479
S16,33,67,39,61,-0.279319034,0.439913166,-0.7192322,-0.439913166
S17,53,47,78,22,0.772193214,-0.075269862,0.847463076,0.075269862
S18,36,64,51,49,0.025068908,0.358458793,-0.333389885,-0.358458793
S19,18,82,85,15,1.036433389,0.915365088,0.121068302,-0.915365088
S20,54,46,30,70,-0.524400513,-0.100433721,-0.423966792,0.100433721
S21,59,41,60,40,0.253347103,-0.227544977,0.48089208,0.227544977
S22,62,38,58,42,0.201893479,-0.305480788,0.507374267,0.305480788
S23,28,72,27,73,-0.612812991,0.582841507,-1.195654498,-0.582841507
S24,17,83,71,29,0.55338472,0.954165253,-0.400780534,-0.954165253
S25,47,53,37,63,-0.331853346,0.075269862,-0.407123209,-0.075269862
S26,29,71,84,16,0.994457883,0.55338472,0.441073164,-0.55338472
S27,66,34,33,67,-0.439913166,-0.412463129,-0.027450036,0.412463129
S28,30,70,60,40,0.253347103,0.524400513,-0.27105341,-0.524400513
S29,35,65,28,72,-0.582841507,0.385320466,-0.968161974,-0.385320466
S30,55,45,20,80,-0.841621234,-0.125661347,-0.715959887,0.125661347
S31,35,65,60,40,0.253347103,0.385320466,-0.131973363,-0.385320466
S32,54,46,53,47,0.075269862,-0.100433721,0.175703583,0.100433721
S33,78,22,20,80,-0.841621234,-0.772193214,-0.069428019,0.772193214
S34,15,85,68,32,0.467698799,1.036433389,-0.56873459,-1.036433389
S35,73,27,58,42,0.201893479,-0.612812991,0.81470647,0.612812991
S36,55,45,30,70,-0.524400513,-0.125661347,-0.398739166,0.125661347
S37,41,59,67,33,0.439913166,0.227544977,0.212368189,-0.227544977
S38,51,49,39,61,-0.279319034,-0.025068908,-0.254250126,0.025068908
S39,57,43,33,67,-0.439913166,-0.176374165,-0.263539001,0.176374165
S40,39,61,78,22,0.772193214,0.279319034,0.49287418,-0.279319034
S01,55,45,67,33,0.439913166,-0.125661347,0.565574513,0.125661347
S02,78,22,39,61,-0.279319034,-0.772193214,0.49287418,0.772193214
S03,36,64,25,75,-0.67448975,0.358458793,-1.032948543,-0.358458793
S04,62,38,30,70,-0.524400513,-0.305480788,-0.218919725,0.305480788
S05,48,52,74,26,0.643345405,0.050153583,0.593191822,-0.050153583
S06,92,8,28,72,-0.582841507,-1.40507156,0.822230053,1.40507156
S07,83,17,39,61,-0.279319034,-0.954165253,0.674846219,0.954165253
S08,59,41,28,72,-0.582841507,-0.227544977,-0.355296531,0.227544977
S09,51,49,29,71,-0.55338472,-0.025068908,-0.528315811,0.025068908
S10,55,45,34,66,-0.412463129,-0.125661347,-0.286801783,0.125661347
S11,48,52,36,64,-0.358458793,0.050153583,-0.408612377,-0.050153583
S12,46,54,39,61,-0.279319034,0.100433721,-0.379752755,-0.100433721
S13,76,24,14,86,-1.080319341,-0.706302563,-0.374016778,0.706302563
S14,40,60,16,84,-0.994457883,0.253347103,-1.247804986,-0.253347103
S15,49,51,41,59,-0.227544977,0.025068908,-0.252613885,-0.025068908
S16,68,32,13,87,-1.126391129,-0.467698799,-0.65869233,0.467698799
S17,54,46,48,52,-0.050153583,-0.100433721,0.050280137,0.100433721
S18,46,54,84,16,0.994457883,0.100433721,0.894024163,-0.100433721
S19,94,6,16,84,-0.994457883,-1.554773595,0.560315711,1.554773595
S20,52,48,41,59,-0.227544977,-0.050153583,-0.177391393,0.050153583
S21,23,77,54,46,0.100433721,0.738846849,-0.638413129,-0.738846849
S22,39,61,84,16,0.994457883,0.279319034,0.715138849,-0.279319034
S23,82,18,43,57,-0.176374165,-0.915365088,0.738990923,0.915365088
S24,84,16,18,82,-0.915365088,-0.994457883,0.079092795,0.994457883
S25,41,59,43,57,-0.176374165,0.227544977,-0.403919141,-0.227544977
S26,57,43,52,48,0.050153583,-0.176374165,0.226527748,0.176374165
S27,88,12,19,81,-0.877896295,-1.174986792,0.297090497,1.174986792
S28,55,45,87,13,1.126391129,-0.125661347,1.252052476,0.125661347
S29,84,16,24,76,-0.706302563,-0.994457883,0.28815532,0.994457883
S30,77,23,45,55,-0.125661347,-0.738846849,0.613185502,0.738846849
S31,62,38,50,50,0,-0.305480788,0.305480788,0.305480788
S32,64,36,48,52,-0.050153583,-0.358458793,0.30830521,0.358458793
S33,83,17,20,80,-0.841621234,-0.954165253,0.11254402,0.954165253
S34,66,34,55,45,0.125661347,-0.412463129,0.538124476,0.412463129
S35,38,62,48,52,-0.050153583,0.305480788,-0.355634372,-0.305480788
S36,62,38,52,48,0.050153583,-0.305480788,0.355634372,0.305480788
S37,78,22,29,71,-0.55338472,-0.772193214,0.218808495,0.772193214
S38,17,83,52,48,0.050153583,0.954165253,-0.90401167,-0.954165253
S39,26,74,64,36,0.358458793,0.643345405,-0.284886612,-0.643345405
S40,83,17,60,40,0.253347103,-0.954165253,1.207512356,0.954165253
S01,18,82,79,21,0.806421247,0.915365088,-0.108943841,-0.915365088
S02,51,49,46,54,-0.100433721,-0.025068908,-0.075364812,0.025068908
S03,37,63,61,39,0.279319034,0.331853346,-0.052534312,-0.331853346
S04,42,58,71,29,0.55338472,0.201893479,0.35149124,-0.201893479
S05,69,31,34,66,-0.412463129,-0.495850347,0.083387218,0.495850347
S06,71,29,39,61,-0.279319034,-0.55338472,0.274065685,0.55338472
S07,79,21,28,72,-0.582841507,-0.806421247,0.22357974,0.806421247
S08,41,59,56,44,0.150969215,0.227544977,-0.076575761,-0.227544977
S09,60,40,44,56,-0.150969215,-0.253347103,0.102377888,0.253347103
S10,81,19,41,59,-0.227544977,-0.877896295,0.650351318,0.877896295
S11,23,77,69,31,0.495850347,0.738846849,-0.242996502,-0.738846849
S12,34,66,67,33,0.439913166,0.412463129,0.027450036,-0.412463129
S13,69,31,13,87,-1.126391129,-0.495850347,-0.630540782,0.495850347
S14,45,55,24,76,-0.706302563,0.125661347,-0.83196391,-0.125661347
S15,29,71,56,44,0.150969215,0.55338472,-0.402415504,-0.55338472
S16,45,55,69,31,0.495850347,0.125661347,0.370189,-0.125661347
S17,24,76,87,13,1.126391129,0.706302563,0.420088566,-0.706302563
S18,57,43,29,71,-0.55338472,-0.176374165,-0.377010555,0.176374165
S19,59,41,24,76,-0.706302563,-0.227544977,-0.478757586,0.227544977
S20,10,90,82,18,0.915365088,1.281551566,-0.366186478,-1.281551566
S21,13,87,79,21,0.806421247,1.126391129,-0.319969882,-1.126391129
S22,44,56,64,36,0.358458793,0.150969215,0.207489578,-0.150969215
S23,68,32,50,50,0,-0.467698799,0.467698799,0.467698799
S24,59,41,48,52,-0.050153583,-0.227544977,0.177391393,0.227544977
S25,41,59,43,57,-0.176374165,0.227544977,-0.403919141,-0.227544977
S26,26,74,84,16,0.994457883,0.643345405,0.351112478,-0.643345405
S27,61,39,10,90,-1.281551566,-0.279319034,-1.002232531,0.279319034
S28,26,74,77,23,0.738846849,0.643345405,0.095501444,-0.643345405
S29,37,63,72,28,0.582841507,0.331853346,0.250988161,-0.331853346
S30,26,74,58,42,0.201893479,0.643345405,-0.441451926,-0.643345405
S31,10,90,88,12,1.174986792,1.281551566,-0.106564773,-1.281551566
S32,41,59,62,38,0.305480788,0.227544977,0.077935811,-0.227544977
S33,68,32,41,59,-0.227544977,-0.467698799,0.240153822,0.467698799
S34,61,39,22,78,-0.772193214,-0.279319034,-0.49287418,0.279319034
S35,37,63,40,60,-0.253347103,0.331853346,-0.58520045,-0.331853346
S36,54,46,52,48,0.050153583,-0.100433721,0.150587304,0.100433721
S37,73,27,58,42,0.201893479,-0.612812991,0.81470647,0.612812991
S38,46,54,57,43,0.176374165,0.100433721,0.075940444,-0.100433721
S39,24,76,56,44,0.150969215,0.706302563,-0.555333347,-0.706302563
S40,24,76,48,52,-0.050153583,0.706302563,-0.756456146,-0.706302563
S01,77,23,61,39,0.279319034,-0.738846849,1.018165884,0.738846849
S02,68,32,25,75,-0.67448975,-0.467698799,-0.206790951,0.467698799
S03,44,56,64,36,0.358458793,0.150969215,0.207489578,-0.150969215
S04,51,49,66,34,0.412463129,-0.025068908,0.437532038,0.025068908
S05,36,64,85,15,1.036433389,0.358458793,0.677974596,-0.358458793
S06,59,41,66,34,0.412463129,-0.227544977,0.640008106,0.227544977
S07,90,10,31,69,-0.495850347,-1.281551566,0.785701218,1.281551566
S08,45,55,26,74,-0.643345405,0.125661347,-0.769006752,-0.125661347
S09,77,23,46,54,-0.100433721,-0.738846849,0.638413129,0.738846849
S10,40,60,68,32,0.467698799,0.253347103,0.214351696,-0.253347103
S11,22,78,77,23,0.738846849,0.772193214,-0.033346365,-0.772193214
S12,26,74,44,56,-0.150969215,0.643345405,-0.794314621,-0.643345405
S13,48,52,34,66,-0.412463129,0.050153583,-0.462616713,-0.050153583
S14,41,59,27,73,-0.612812991,0.227544977,-0.840357968,-0.227544977
S15,18,82,63,37,0.331853346,0.915365088,-0.583511741,-0.915365088
S16,34,66,74,26,0.643345405,0.412463129,0.230882276,-0.412463129
S17,88,12,6,94,-1.554773595,-1.174986792,-0.379786803,1.174986792
S18,41,59,72,28,0.582841507,0.227544977,0.355296531,-0.227544977
S19,44,56,24,76,-0.706302563,0.150969215,-0.857271778,-0.150969215
S20,49,51,29,71,-0.55338472,0.025068908,-0.578453628,-0.025068908
S21,51,49,66,34,0.412463129,-0.025068908,0.437532038,0.025068908
S22,39,61,36,64,-0.358458793,0.279319034,-0.637777828,-0.279319034
S23,89,11,17,83,-0.954165253,-1.22652812,0.272362867,1.22652812
S24,37,63,59,41,0.227544977,0.331853346,-0.10430837,-0.331853346
S25,61,39,32,68,-0.467698799,-0.279319034,-0.188379765,0.279319034
S26,53,47,71,29,0.55338472,-0.075269862,0.628654582,0.075269862
S27,39,61,63,37,0.331853346,0.279319034,0.052534312,-0.279319034
S28,46,54,36,64,-0.358458793,0.100433721,-0.458892514,-0.100433721
S29,31,69,96,4,1.750686071,0.495850347,1.254835724,-0.495850347
S30,50,50,79,21,0.806421247,0,0.806421247,0
S31,50,50,29,71,-0.55338472,0,-0.55338472,0
S32,26,74,78,22,0.772193214,0.643345405,0.128847809,-0.643345405
S33,91,9,44,56,-0.150969215,-1.340755034,1.189785818,1.340755034
S34,52,48,57,43,0.176374165,-0.050153583,0.226527748,0.050153583
S35,30,70,69,31,0.495850347,0.524400513,-0.028550165,-0.524400513
S36,68,32,80,20,0.841621234,-0.467698799,1.309320033,0.467698799
S37,56,44,21,79,-0.806421247,-0.150969215,-0.655452032,0.150969215
S38,72,28,27,73,-0.612812991,-0.582841507,-0.029971484,0.582841507
S39,70,30,65,35,0.385320466,-0.524400513,0.909720979,0.524400513
S40,40,60,60,40,0.253347103,0.253347103,0,-0.253347103
S01,19,81,54,46,0.100433721,0.877896295,-0.777462575,-0.877896295
S02,66,34,36,64,-0.358458793,-0.412463129,0.054004336,0.412463129
S03,75,25,29,71,-0.55338472,-0.67448975,0.121105031,0.67448975
S04,68,32,32,68,-0.467698799,-0.467698799,0,0.467698799
S05,91,9,1,99,-2.326347874,-1.340755034,-0.98559284,1.340755034
S06,83,17,27,73,-0.612812991,-0.954165253,0.341352262,0.954165253
S07,30,70,58,42,0.201893479,0.524400513,-0.322507034,-0.524400513
S08,47,53,62,38,0.305480788,0.075269862,0.230210926,-0.075269862
S09,60,40,9,91,-1.340755034,-0.253347103,-1.087407931,0.253347103
S10,35,65,50,50,0,0.385320466,-0.385320466,-0.385320466
S11,70,30,49,51,-0.025068908,-0.524400513,0.499331604,0.524400513
S12,53,47,18,82,-0.915365088,-0.075269862,-0.840095226,0.075269862
S13,68,32,17,83,-0.954165253,-0.467698799,-0.486466454,0.467698799
S14,26,74,55,45,0.125661347,0.643345405,-0.517684059,-0.643345405
S15,41,59,70,30,0.524400513,0.227544977,0.296855536,-0.227544977
S16,49,51,36,64,-0.358458793,0.025068908,-0.383527702,-0.025068908
S17,57,43,23,77,-0.738846849,-0.176374165,-0.562472684,0.176374165
S18,39,61,55,45,0.125661347,0.279319034,-0.153657688,-0.279319034
S19,69,31,48,52,-0.050153583,-0.495850347,0.445696764,0.495850347
S20,46,54,38,62,-0.305480788,0.100433721,-0.405914509,-0.100433721
S21,79,21,18,82,-0.915365088,-0.806421247,-0.108943841,0.806421247
S22,25,75,75,25,0.67448975,0.67448975,0,-0.67448975
S23,69,31,15,85,-1.036433389,-0.495850347,-0.540583042,0.495850347
S24,46,54,17,83,-0.954165253,0.100433721,-1.054598974,-0.100433721
S25,70,30,85,15,1.036433389,-0.524400513,1.560833902,0.524400513
S26,59,41,48,52,-0.050153583,-0.227544977,0.177391393,0.227544977
S27,52,48,59,41,0.227544977,-0.050153583,0.27769856,0.050153583
S28,62,38,54,46,0.100433721,-0.305480788,0.405914509,0.305480788
S29,37,63,62,38,0.305480788,0.331853346,-0.026372558,-0.331853346
S30,70,30,55,45,0.125661347,-0.524400513,0.65006186,0.524400513
S31,45,55,64,36,0.358458793,0.125661347,0.232797446,-0.125661347
S32,31,69,24,76,-0.706302563,0.495850347,-1.20215291,-0.495850347
S33,7,93,67,33,0.439913166,1.475791028,-1.035877863,-1.475791028
S34,83,17,39,61,-0.279319034,-0.954165253,0.674846219,0.954165253
S35,43,57,43,57,-0.176374165,0.176374165,-0.35274833,-0.176374165
S36,86,14,26,74,-0.643345405,-1.080319341,0.436973935,1.080319341
S37,43,57,51,49,0.025068908,0.176374165,-0.151305257,-0.176374165
S38,32,68,57,43,0.176374165,0.467698799,-0.291324634,-0.467698799
S39,48,52,39,61,-0.279319034,0.050153583,-0.329472618,-0.050153583
S40,38,62,76,24,0.706302563,0.305480788,0.400821775,-0.305480788
S01,79,21,27,73,-0.612812991,-0.806421247,0.193608256,0.806421247
S02,63,37,54,46,0.100433721,-0.331853346,0.432287067,0.331853346
S03,63,37,57,43,0.176374165,-0.331853346,0.508227511,0.331853346
S04,47,53,41,59,-0.227544977,0.075269862,-0.302814839,-0.075269862
S05,71,29,39,61,-0.279319034,-0.55338472,0.274065685,0.55338472
S06,43,57,56,44,0.150969215,0.176374165,-0.025404949,-0.176374165
S07,30,70,74,26,0.643345405,0.524400513,0.118944893,-0.524400513
S08,22,78,53,47,0.075269862,0.772193214,-0.696923352,-0.772193214
S09,12,88,85,15,1.036433389,1.174986792,-0.138553403,-1.174986792
S10,57,43,53,47,0.075269862,-0.176374165,0.251644027,0.176374165
S11,45,55,28,72,-0.582841507,0.125661347,-0.708502854,-0.125661347
S12,28,72,51,49,0.025068908,0.582841507,-0.557772599,-0.582841507
S13,58,42,74,26,0.643345405,-0.201893479,0.845238885,0.201893479
S14,35,65,61,39,0.279319034,0.385320466,-0.106001432,-0.385320466
S15,90,10,22,78,-0.772193214,-1.281551566,0.509358351,1.281551566
S16,39,61,50,50,0,0.279319034,-0.279319034,-0.279319034
S17,10,90,63,37,0.331853346,1.281551566,-0.949698219,-1.281551566
S18,19,81,72,28,0.582841507,0.877896295,-0.295054788,-0.877896295
S19,58,42,13,87,-1.126391129,-0.201893479,-0.92449765,0.201893479
